frame_number,keypoint,Elbow angle,Knee angle,Shoulder-Elbow angle
47,"[[    0.23166     0.32628]
 [    0.23634      0.3189]
 [          0           0]
 [    0.26552     0.31404]
 [          0           0]
 [    0.30497     0.35364]
 [    0.30676     0.34615]
 [    0.32377     0.42989]
 [          0           0]
 [    0.26273     0.48402]
 [          0           0]
 [    0.32835      0.4885]
 [    0.33401     0.48073]
 [    0.28116     0.60587]
 [    0.30973     0.58578]
 [    0.29255     0.72889]
 [    0.33388     0.69175]]",132.09344047822665,160.66325746581762,2.859072308644857
48,"[[    0.22941     0.32689]
 [    0.23347     0.31954]
 [          0           0]
 [    0.26166     0.31367]
 [          0           0]
 [    0.30141     0.35195]
 [    0.30768     0.34324]
 [    0.32201     0.43074]
 [          0           0]
 [    0.26441     0.48244]
 [          0           0]
 [    0.32933     0.48582]
 [    0.33604     0.47852]
 [    0.28922     0.59653]
 [     0.3069     0.58176]
 [    0.29941     0.71661]
 [    0.31806     0.69004]]",131.85774228435616,162.44737002608878,2.0563283178716705
49,"[[    0.22862     0.32693]
 [    0.23224     0.31935]
 [          0           0]
 [    0.25821     0.31292]
 [          0           0]
 [    0.29667      0.3513]
 [    0.30736     0.34198]
 [    0.32038     0.43049]
 [          0           0]
 [    0.26495     0.48433]
 [          0           0]
 [    0.32375      0.4863]
 [    0.33209     0.47972]
 [    0.28912     0.59681]
 [     0.2981      0.5876]
 [    0.30608     0.71176]
 [    0.30114     0.69454]]",132.5615933254867,161.81250561034335,3.827878468135015
50,"[[    0.22629     0.32605]
 [    0.22984     0.31805]
 [          0           0]
 [    0.25721     0.31219]
 [          0           0]
 [    0.29571     0.35228]
 [    0.30532     0.34337]
 [    0.31717     0.42954]
 [          0           0]
 [    0.26415     0.47475]
 [          0           0]
 [    0.31715     0.48586]
 [    0.32468     0.47901]
 [    0.28666     0.59925]
 [    0.30066     0.58752]
 [     0.2966     0.72061]
 [    0.29992     0.69914]]",129.78670850312403,166.1235053672859,4.573587132794533
51,"[[    0.22604     0.32775]
 [    0.22731     0.31903]
 [          0           0]
 [    0.25425     0.31181]
 [          0           0]
 [    0.28988     0.34948]
 [    0.32009     0.33816]
 [    0.31333     0.42757]
 [          0           0]
 [     0.2662      0.4764]
 [          0           0]
 [    0.31703     0.47895]
 [    0.33831     0.47241]
 [    0.28977     0.57267]
 [    0.30464     0.56627]
 [    0.30594     0.67841]
 [    0.30368      0.6662]]",134.2566836242052,162.4616142292663,3.5059771158236575
52,"[[    0.22707     0.32821]
 [    0.22852     0.31965]
 [          0           0]
 [    0.25439     0.31094]
 [          0           0]
 [    0.28993     0.34676]
 [    0.31779     0.33708]
 [    0.31015     0.42469]
 [          0           0]
 [    0.26636      0.4749]
 [          0           0]
 [    0.32411     0.47449]
 [     0.3437      0.4692]
 [    0.28642     0.56489]
 [    0.30256     0.56215]
 [    0.29825     0.66717]
 [    0.29934     0.66045]]",138.46733935910893,159.1960365541926,0.3125310118007735
53,"[[    0.22562      0.3279]
 [    0.22683     0.31924]
 [          0           0]
 [    0.25266     0.31071]
 [          0           0]
 [    0.28992     0.34689]
 [    0.31709     0.33841]
 [    0.30996     0.42567]
 [          0           0]
 [    0.26386     0.47743]
 [          0           0]
 [    0.32427     0.47611]
 [    0.34408     0.47098]
 [    0.28334     0.56774]
 [     0.3012     0.56462]
 [    0.29509     0.67198]
 [    0.29815     0.66364]]",138.12720537022372,158.22083896512575,0.44484366467473346
54,"[[    0.22313     0.32663]
 [     0.2255      0.3181]
 [          0           0]
 [     0.2513      0.3117]
 [          0           0]
 [    0.29057     0.35308]
 [    0.31069     0.34501]
 [    0.31099     0.43222]
 [          0           0]
 [    0.25726     0.47988]
 [          0           0]
 [    0.31172     0.49441]
 [    0.32653     0.48852]
 [    0.27687     0.60912]
 [    0.29569       0.603]
 [    0.29129     0.72519]
 [    0.29137     0.71273]]",131.64919350198278,163.0986568033423,4.240407536445496
55,"[[    0.22201     0.32616]
 [    0.22435     0.31785]
 [          0           0]
 [    0.24967     0.31164]
 [          0           0]
 [    0.28917     0.35224]
 [    0.30929     0.34433]
 [    0.31053     0.43147]
 [          0           0]
 [    0.25609     0.47975]
 [          0           0]
 [    0.31687     0.48948]
 [    0.33089     0.48406]
 [    0.28173     0.60388]
 [    0.29552     0.60033]
 [    0.29415       0.716]
 [    0.28699     0.70845]]",131.20307111322026,163.50659155889238,2.634139533170301
56,"[[    0.22201     0.32616]
 [     0.2225     0.31696]
 [          0           0]
 [    0.24604     0.31069]
 [          0           0]
 [    0.28714     0.35222]
 [    0.31074     0.34392]
 [    0.31011     0.43471]
 [          0           0]
 [    0.25077      0.4882]
 [          0           0]
 [    0.30984     0.49506]
 [    0.32714     0.48938]
 [    0.27313     0.61072]
 [    0.29465     0.60637]
 [    0.29094     0.72702]
 [    0.29177      0.7172]]",131.31901101552972,161.44347390466254,4.659704683225272
57,"[[    0.22201     0.32616]
 [    0.22167     0.31623]
 [          0           0]
 [    0.24452     0.31045]
 [          0           0]
 [    0.28404     0.35097]
 [    0.31426       0.341]
 [    0.31001     0.43127]
 [          0           0]
 [    0.25226     0.48179]
 [          0           0]
 [    0.30923     0.48875]
 [    0.33062     0.48268]
 [    0.27368     0.59852]
 [    0.29788     0.59427]
 [     0.2926     0.71548]
 [    0.29583     0.70592]]",128.75887832736916,160.85161034101776,5.4409914791373195
